price,maintenance,doors,seats,storage,safety,shouldBuy
vhigh,med,4,more,small,med,unacc
med,med,4,more,big,low,unacc
high,med,3,more,big,low,unacc
low,low,3,4,small,low,acc
vhigh,med,,2,big,high,unacc
low,low,2,4,small,high,unacc
high,med,2,4,med,med,unacc
high,med,2,more,big,high,unacc
high,med,3,2,big,high,unacc
med,low,3,4,med,high,unacc
med,med,4,2,small,med,unacc
low,low,4,4,small,med,unacc
low,low,3,4,small,med,unacc
vhigh,low,2,4,big,high,unacc
vhigh,high,4,4,,low,acc
low,med,5more,4,small,low,unacc
med,low,3,2,small,low,unacc
high,high,5more,more,med,low,vgood
low,vhigh,5more,4,med,med,unacc
vhigh,,2,4,med,low,unacc
med,low,3,2,big,low,unacc
low,med,3,4,med,low,unacc
low,low,5more,4,big,high,unacc
med,vhigh,2,2,,low,unacc
,low,4,2,big,med,vgood
med,low,5more,4,big,med,unacc
high,med,2,more,big,high,unacc
med,low,5more,4,big,med,unacc
med,vhigh,3,more,big,low,unacc
med,high,,2,small,low,unacc
low,med,2,2,small,high,unacc
low,,3,2,small,med,unacc
med,vhigh,4,2,med,low,unacc
low,low,3,2,big,low,acc
vhigh,high,3,more,big,low,unacc
vhigh,med,5more,more,small,med,unacc
low,high,2,2,med,high,acc
low,low,3,4,small,low,unacc
med,high,2,more,small,high,unacc
high,vhigh,5more,more,small,med,unacc
NaN,low,2,2,med,med,acc
vhigh,low,3,more,med,low,acc
med,low,5more,4,big,high,unacc
,vhigh,5more,more,big,med,unacc
vhigh,med,5more,4,med,low,unacc
vhigh,vhigh,4,2,big,low,unacc
high,low,4,more,big,med,
med,low,2,4,small,high,unacc
med,high,,more,med,high,unacc
high,vhigh,5more,more,null,high,unacc
high,med,2,4,,low,unacc
med,low,5more,more,big,med,unacc
med,vhigh,4,more,med,low,acc
low,low,5more,2,big,high,unacc
low,med,,more,small,high,unacc
high,med,5more,4,big,high,unacc
low,high,,4,small,med,acc
vhigh,high,4,4,big,med,unacc
low,high,5more,2,big,low,acc
low,med,4,more,big,low,vgood
vhigh,vhigh,3,2,small,high,vgood
high,vhigh,5more,2,big,low,unacc
vhigh,med,2,2,med,med,unacc
low,med,4,more,med,med,acc
high,vhigh,3,2,small,low,acc
low,low,4,2,small,med,null
vhigh,vhigh,5more,more,med,med,unacc
vhigh,med,3,more,med,high,unacc
low,vhigh,5more,4,NaN,high,unacc
med,vhigh,5more,4,big,low,unacc
med,med,5more,2,NaN,med,acc
vhigh,low,2,more,null,high,unacc
vhigh,med,5more,null,big,high,unacc
med,high,2,2,small,low,unacc
med,high,5more,4,big,high,unacc
low,vhigh,4,2,small,low,unacc
low,med,4,4,big,low,unacc
med,NaN,4,4,med,high,acc
low,vhigh,5more,2,big,high,unacc
low,med,2,more,med,NaN,acc
high,vhigh,5more,more,big,low,unacc
low,vhigh,4,more,small,high,acc
vhigh,med,4,4,big,high,unacc
low,low,3,4,med,high,acc
low,,3,2,small,med,unacc
med,high,2,NaN,med,med,unacc
vhigh,low,2,more,small,high,
low,high,3,more,small,med,good
low,med,2,2,small,med,unacc
high,vhigh,4,more,big,null,unacc
,vhigh,4,4,med,med,good
low,low,2,2,big,low,unacc
high,vhigh,4,4,small,null,unacc
med,med,3,4,med,low,unacc
low,low,4,4,big,med,unacc
high,low,,4,small,high,acc
vhigh,high,3,2,med,low,unacc
null,med,2,2,big,low,acc
vhigh,high,3,4,med,low,unacc
vhigh,low,4,2,small,,acc
high,high,5more,more,med,med,unacc
low,med,3,4,small,low,null
high,high,3,2,small,med,unacc
high,low,5more,more,small,med,unacc
high,high,4,4,small,high,good
high,low,5more,,small,high,acc
med,low,3,more,small,high,unacc
low,null,5more,4,big,med,unacc
vhigh,vhigh,3,more,small,med,acc
vhigh,med,4,2,med,high,null
low,low,2,2,null,high,unacc
vhigh,vhigh,5more,more,,med,unacc
low,med,5more,more,small,low,unacc
vhigh,vhigh,5more,4,med,high,acc
high,NaN,2,4,small,med,unacc
vhigh,,4,2,med,med,unacc
low,vhigh,4,more,small,low,null
low,vhigh,2,2,small,low,unacc
low,med,4,4,med,low,NaN
low,med,3,4,,high,unacc
low,low,3,4,small,med,acc
med,vhigh,3,2,small,low,unacc
med,low,4,4,med,med,NaN
vhigh,med,2,2,big,med,vgood
low,low,5more,4,med,med,unacc
vhigh,high,null,2,med,low,acc
low,low,2,4,med,high,unacc
low,high,5more,2,big,low,unacc
med,low,5more,2,big,high,unacc
med,,2,4,big,high,acc
high,high,3,2,big,high,acc
med,med,2,more,big,NaN,vgood
high,low,2,4,big,high,unacc
high,med,4,2,med,med,null
high,vhigh,5more,2,med,med,vgood
high,med,4,more,small,low,unacc
high,null,3,4,small,med,unacc
vhigh,med,4,more,small,high,unacc
med,med,4,2,NaN,med,unacc
high,vhigh,3,4,,med,acc
low,high,4,4,big,low,unacc
med,med,5more,more,med,med,unacc
med,vhigh,3,2,big,low,acc
high,med,4,2,small,high,unacc
vhigh,med,5more,more,big,med,vgood
high,med,5more,more,big,high,unacc
vhigh,med,3,more,small,low,unacc
low,low,2,more,med,low,acc
med,,5more,4,,high,unacc
low,vhigh,2,4,med,,acc
vhigh,med,2,,big,med,acc
vhigh,vhigh,2,4,small,high,unacc
low,vhigh,2,more,small,med,vgood
vhigh,high,4,2,med,med,acc
low,vhigh,4,more,small,med,good
med,vhigh,3,,small,high,unacc
low,high,4,more,med,low,unacc
,med,2,2,small,low,
low,low,2,2,small,low,good
vhigh,high,NaN,2,small,high,acc
low,low,4,more,big,med,unacc
vhigh,med,2,4,big,med,acc
low,,4,2,small,high,unacc
low,low,2,4,med,med,unacc
high,low,5more,4,small,low,unacc
vhigh,vhigh,5more,more,med,med,unacc
high,med,2,,small,med,acc
vhigh,high,NaN,4,big,high,unacc
high,high,2,2,small,low,unacc
med,med,3,more,med,high,vgood
low,low,5more,4,big,high,unacc
vhigh,low,4,more,small,high,acc
vhigh,high,3,2,small,med,acc
low,,4,more,small,high,unacc
vhigh,high,4,4,small,high,unacc
vhigh,vhigh,5more,more,big,med,unacc
high,vhigh,3,2,small,high,unacc
vhigh,vhigh,4,2,med,med,acc
med,med,5more,more,small,high,unacc
med,low,4,2,med,,good
low,vhigh,2,2,small,med,unacc
vhigh,high,2,2,small,med,unacc
null,vhigh,2,2,big,low,unacc
med,low,4,2,med,high,unacc
vhigh,high,null,2,big,low,unacc
vhigh,vhigh,3,4,big,low,acc
low,low,4,4,big,med,unacc
med,high,3,2,big,high,
vhigh,vhigh,5more,4,med,low,acc
low,vhigh,5more,2,big,low,acc
med,low,4,2,big,low,unacc
low,vhigh,2,more,small,high,unacc
high,low,4,more,,low,acc
vhigh,vhigh,5more,4,small,low,acc
high,high,3,NaN,big,low,unacc
med,vhigh,3,2,small,med,unacc
high,med,2,,big,high,acc
high,vhigh,5more,more,NaN,low,unacc
null,low,3,4,small,low,unacc
low,vhigh,4,4,med,med,null
high,med,5more,4,,high,unacc
low,high,3,2,small,med,unacc
high,med,2,more,med,high,good
low,high,NaN,4,med,high,vgood
med,med,4,2,big,low,unacc
high,med,4,4,big,med,unacc
med,med,2,more,big,med,unacc
high,high,3,more,med,high,unacc
med,vhigh,3,,med,med,acc
med,low,2,more,big,low,unacc
high,vhigh,4,more,big,med,NaN
high,med,5more,more,big,high,unacc
,high,5more,2,small,med,vgood
vhigh,high,2,,,high,unacc
low,vhigh,5more,more,small,med,acc
vhigh,high,5more,2,med,,unacc
vhigh,high,3,more,small,high,unacc
med,med,2,more,med,med,vgood
high,high,2,,small,med,unacc
low,high,3,4,small,,acc
med,,NaN,2,small,med,unacc
vhigh,vhigh,4,more,med,med,unacc
high,low,2,more,med,low,unacc
med,low,5more,2,big,high,unacc
high,,5more,2,big,med,unacc
med,vhigh,4,2,,null,acc
high,high,5more,4,big,high,unacc
vhigh,med,4,more,small,high,acc
low,vhigh,5more,more,big,low,unacc
vhigh,low,3,more,big,low,good
low,high,3,2,small,med,
high,low,2,more,med,low,unacc
med,low,5more,more,,high,unacc
vhigh,low,4,more,big,low,unacc
low,vhigh,2,more,big,low,unacc
vhigh,high,3,more,small,NaN,good
low,low,2,more,big,null,unacc
vhigh,vhigh,4,more,big,low,unacc
low,med,5more,more,big,low,acc
low,med,3,more,med,high,unacc
high,vhigh,2,4,big,low,unacc
low,med,2,2,big,high,acc
high,low,3,more,small,low,unacc
low,vhigh,4,more,,med,unacc
med,vhigh,3,4,big,high,unacc
med,med,3,2,med,high,unacc
,high,3,more,small,low,unacc
low,med,4,4,med,low,
high,low,,more,small,low,acc
high,high,4,4,small,high,acc
low,high,3,2,small,med,unacc
med,low,5more,,med,med,unacc
med,high,5more,2,big,low,unacc
high,vhigh,5more,2,med,high,unacc
med,high,2,more,small,low,unacc
vhigh,high,5more,more,small,high,acc
high,med,5more,more,med,med,unacc
med,NaN,4,2,big,med,acc
high,low,5more,4,big,low,unacc
,vhigh,3,4,big,low,unacc
high,high,4,4,big,med,unacc
high,med,5more,2,small,low,unacc
high,low,5more,more,small,med,acc
high,low,4,more,small,low,acc
vhigh,high,2,2,med,low,unacc
low,vhigh,2,more,med,high,unacc
high,med,4,,big,low,unacc
high,vhigh,2,4,med,med,unacc
null,vhigh,5more,2,big,low,unacc
high,low,2,2,big,low,unacc
med,vhigh,4,2,big,low,unacc
low,vhigh,2,4,big,low,good
vhigh,low,4,more,small,high,unacc
vhigh,,3,more,med,low,unacc
low,vhigh,4,more,med,med,unacc
vhigh,low,3,more,med,low,acc
,med,3,2,big,med,unacc
low,med,3,4,big,low,acc
low,vhigh,5more,2,big,low,acc
vhigh,,2,NaN,med,med,unacc
med,low,5more,2,small,high,unacc
low,high,4,4,big,high,unacc
high,NaN,4,2,small,med,unacc
vhigh,low,2,more,med,low,acc
low,vhigh,5more,4,small,low,unacc
low,med,4,4,big,high,unacc
high,high,5more,more,big,low,unacc
med,med,4,2,med,med,unacc
med,med,4,2,big,low,good
med,high,5more,,small,low,acc
low,low,2,more,med,med,NaN
low,high,4,2,big,med,acc
low,med,,4,big,high,unacc
vhigh,high,5more,null,,med,unacc
high,vhigh,3,2,med,med,acc
low,low,5more,2,med,low,acc
high,low,5more,more,big,low,unacc
high,high,2,more,big,med,unacc
med,low,4,4,small,low,acc
vhigh,low,2,2,med,low,vgood
low,med,3,more,small,med,unacc
med,med,4,more,big,med,unacc
,low,4,2,big,high,vgood
low,low,null,2,NaN,low,unacc
high,med,2,2,med,high,unacc
med,low,3,2,med,high,vgood
high,low,4,2,big,low,acc
vhigh,med,3,more,med,high,unacc
high,med,4,4,med,high,unacc
vhigh,med,4,more,small,high,unacc
high,vhigh,3,4,big,low,unacc
med,med,3,more,small,high,unacc
med,low,5more,,med,low,unacc
vhigh,med,3,more,small,low,unacc
low,vhigh,,2,big,med,acc
vhigh,med,4,2,small,med,unacc
vhigh,med,5more,2,small,med,acc
high,vhigh,,2,med,low,acc
high,high,5more,more,small,high,unacc
vhigh,high,4,4,small,med,unacc
med,med,4,2,small,med,NaN
high,high,3,4,med,high,unacc
low,high,4,NaN,big,high,unacc
high,low,3,2,,high,unacc
high,low,3,more,big,low,acc
low,low,2,2,big,low,
vhigh,vhigh,NaN,more,med,med,unacc
low,high,,2,small,med,unacc
vhigh,med,,2,big,low,acc
NaN,vhigh,3,2,med,low,unacc
vhigh,high,,2,big,low,unacc
low,med,4,2,med,NaN,unacc
NaN,vhigh,4,more,big,high,unacc
med,low,,more,big,med,unacc
low,med,3,4,med,med,vgood
med,low,4,more,big,low,unacc
vhigh,high,4,more,big,low,
high,med,4,,null,high,null
vhigh,low,2,2,small,low,unacc
med,low,4,more,,high,acc
med,high,2,,small,low,
low,high,2,more,small,high,good
high,high,5more,4,small,med,unacc
low,high,5more,2,med,low,unacc
med,high,4,more,small,low,unacc
vhigh,vhigh,5more,4,small,med,acc
NaN,low,5more,4,med,low,unacc
vhigh,high,3,4,big,high,unacc
vhigh,low,3,2,small,low,acc
high,vhigh,4,more,small,med,unacc
low,,3,2,,low,acc
vhigh,,5more,null,big,low,acc
med,low,4,2,small,med,vgood
vhigh,low,,more,med,high,acc
high,med,4,more,small,low,unacc
high,vhigh,3,more,small,high,unacc
high,low,5more,2,small,high,null
low,vhigh,3,,big,high,unacc
vhigh,low,4,2,med,low,unacc
low,low,4,,small,low,
low,low,3,2,big,high,acc
NaN,med,5more,more,med,high,unacc
high,vhigh,4,4,big,high,unacc
low,vhigh,2,2,med,low,unacc
vhigh,high,2,more,med,low,acc
med,low,5more,4,small,low,unacc
low,med,5more,4,,high,good
vhigh,low,3,4,big,med,acc
high,vhigh,2,4,med,high,unacc
high,vhigh,NaN,2,med,high,unacc
vhigh,NaN,2,more,med,low,unacc
med,vhigh,3,more,big,med,unacc
,low,2,4,med,high,vgood
high,low,3,more,big,low,unacc
high,high,5more,2,big,low,unacc
vhigh,med,2,4,big,high,unacc
low,med,4,4,med,high,acc
high,vhigh,,,med,med,unacc
low,vhigh,4,,big,med,acc
med,,3,2,small,low,unacc
high,vhigh,5more,more,small,high,null
high,vhigh,3,more,small,high,acc
med,low,null,more,small,med,unacc
high,high,4,more,med,med,acc
low,,3,2,med,low,unacc
vhigh,NaN,5more,2,med,high,unacc
low,vhigh,3,4,small,low,unacc
vhigh,low,5more,more,big,low,unacc
vhigh,med,5more,2,small,high,acc
low,med,3,4,med,med,unacc
low,med,5more,more,med,high,acc
low,,2,4,NaN,med,unacc
low,high,4,2,big,med,acc
med,med,3,2,med,med,unacc
high,med,4,4,small,med,unacc
vhigh,low,5more,more,med,high,acc
low,high,4,4,small,high,
low,vhigh,2,more,med,high,unacc
,vhigh,4,more,small,low,unacc
med,high,2,4,big,low,unacc
low,low,,4,small,low,good
low,med,2,4,big,high,unacc
low,low,2,2,med,low,unacc
,low,4,more,small,med,unacc
med,high,4,2,small,high,unacc
low,med,3,2,small,null,unacc
vhigh,high,2,more,small,high,unacc
,high,4,more,small,med,unacc
vhigh,low,3,2,,med,unacc
,high,4,more,big,med,acc
med,high,5more,2,med,high,unacc
vhigh,high,2,4,small,high,unacc
low,high,3,more,big,low,unacc
med,low,4,4,med,med,unacc
vhigh,med,null,2,small,med,unacc
vhigh,med,4,4,small,low,unacc
low,low,4,4,med,low,unacc
high,vhigh,2,2,small,low,unacc
med,high,5more,2,small,low,vgood
low,low,5more,,med,med,unacc
vhigh,vhigh,3,4,small,high,
,vhigh,4,2,big,med,unacc
NaN,high,4,2,big,high,unacc
med,low,3,2,med,med,unacc
high,high,3,more,med,low,unacc
high,vhigh,3,more,,high,unacc
vhigh,vhigh,3,,big,high,good
med,high,2,4,small,med,unacc
high,high,2,more,big,low,unacc
med,high,5more,2,med,low,unacc
med,med,5more,more,small,med,acc
vhigh,low,2,null,,med,unacc
high,low,3,4,big,low,unacc
low,low,5more,4,NaN,med,unacc
vhigh,vhigh,2,more,,med,
high,null,,4,med,high,unacc
high,low,2,4,small,high,unacc
high,vhigh,4,4,small,low,unacc
high,vhigh,5more,2,med,low,unacc
high,med,4,2,small,med,unacc
med,vhigh,2,4,small,low,unacc
vhigh,high,4,more,small,low,unacc
med,med,4,4,big,,acc
low,vhigh,2,4,small,high,unacc
high,low,5more,4,big,high,unacc
vhigh,med,5more,2,med,med,unacc
high,med,5more,,med,high,
vhigh,low,4,2,small,low,unacc
med,low,2,4,med,low,unacc
vhigh,low,5more,4,small,low,unacc
low,high,3,2,small,med,unacc
low,med,3,more,small,med,good
vhigh,high,4,4,big,med,unacc
vhigh,high,4,more,big,med,unacc
vhigh,low,4,4,big,med,unacc
vhigh,vhigh,NaN,more,big,low,null
low,high,5more,more,small,high,unacc
high,vhigh,3,,small,med,unacc
vhigh,vhigh,3,4,small,high,vgood
vhigh,low,3,4,,low,unacc
low,vhigh,3,2,big,med,unacc
low,high,4,more,med,med,acc
med,vhigh,3,4,big,low,unacc
vhigh,high,3,more,med,high,unacc
med,low,4,more,big,low,acc
low,high,4,null,small,med,null
low,vhigh,2,,med,high,acc
high,high,5more,4,big,med,unacc
vhigh,vhigh,5more,more,small,high,unacc
med,vhigh,4,4,big,med,unacc
low,low,3,4,big,low,acc
low,vhigh,3,more,small,med,good
med,med,3,more,big,low,acc
high,high,2,more,med,low,acc
low,med,2,4,big,low,acc
vhigh,med,2,2,med,med,vgood
low,high,5more,2,med,low,unacc
vhigh,low,4,4,small,high,unacc
med,high,5more,4,med,,acc
vhigh,low,3,4,big,high,acc
med,vhigh,,2,small,NaN,vgood
vhigh,med,2,4,small,low,
med,high,3,2,big,med,vgood
vhigh,vhigh,5more,2,med,high,unacc
high,high,2,2,small,low,unacc
vhigh,high,5more,more,small,med,unacc
vhigh,vhigh,5more,4,med,high,unacc
high,high,4,4,small,low,acc
low,vhigh,4,2,small,high,good
low,med,3,more,med,high,unacc
,vhigh,3,2,big,high,acc
null,high,2,2,small,,acc
vhigh,med,,2,small,low,acc
med,med,5more,4,med,low,unacc
